Changed At,Unique Key,SKU,Variant ID,Product,Variant,Old Price,New Price,Currency,URL
2026-09-05 06:51:09,VARIANT:42324940521608,92356558,42324940521608,Office Supplies Diamond Earrings,Default Title,28400,23500,USD,https://jacobandco.shop/products/office-supplies-diamond-earrings
2026-09-05 06:51:09,VARIANT:42325149155464,92356557,42325149155464,Office Supplies Diamond Earrings,Default Title,28400,23500,USD,https://jacobandco.shop/products/office-supplies-diamond-earrings-white-gold
2026-09-05 06:51:09,VARIANT:40363449417864,92046929,40363449417864,Office Supplies Earrings,Default Title,8200,4500,USD,https://jacobandco.shop/products/office-supplies-earrings-1
2026-09-05 06:51:09,VARIANT:41151068504200,,41151068504200,Office Supplies Earrings,Default Title,8200,4500,USD,https://jacobandco.shop/products/office-supplies-earrings
2026-09-05 06:51:09,VARIANT:42304765100168,92355981,42304765100168,Office Supplies Necklace,Default Title,36200,20000,USD,https://jacobandco.shop/products/office-supplies-necklace
2026-09-05 06:51:09,VARIANT:41384136310920,92355578,41384136310920,Papillon Earrings,11cm,56700,43500,USD,https://jacobandco.shop/products/papillon-earrings-cathedral-enamel
2026-09-05 06:51:09,VARIANT:44856257446024,92354905,44856257446024,Papillon Earrings,11cm,56700,43500,USD,https://jacobandco.shop/products/papillon-earrings-tsavorite
2026-09-05 06:51:09,VARIANT:44856258822280,92354899,44856258822280,Papillon Earrings,11cm,56700,43500,USD,https://jacobandco.shop/products/papillon-earrings-2
2026-09-05 06:51:09,VARIANT:44856257413256,92354904,44856257413256,Papillon Earrings,9cm,40500,43500,USD,https://jacobandco.shop/products/papillon-earrings-tsavorite
2026-09-05 06:51:09,VARIANT:44856257970312,,44856257970312,Papillon Earrings,9cm,40500,43500,USD,https://jacobandco.shop/products/papillon-earrings-cathedral-enamel
2026-09-05 06:51:09,VARIANT:44856258789512,92354898,44856258789512,Papillon Earrings,9cm,40500,43500,USD,https://jacobandco.shop/products/papillon-earrings-2
2026-09-05 06:51:09,VARIANT:41347649175688,92252679,41347649175688,Papillon Earrings,Default Title,24700,20500,USD,https://jacobandco.shop/products/papillon-earrings-white-gold
2026-09-05 06:51:09,VARIANT:41384373813384,92355276,41384373813384,Papillon Earrings,Default Title,23000,20500,USD,https://jacobandco.shop/products/papillon-earrings-pink
2026-09-05 06:51:09,VARIANT:40109795311752,92355284,40109795311752,Papillon Pendant,Default Title,19600,15500,USD,https://jacobandco.shop/products/papillon-necklace-1
2026-09-05 06:51:09,VARIANT:41347614933128,92252772,41347614933128,Papillon Pendant,Default Title,14500,9500,USD,https://jacobandco.shop/products/papillon-pendant
2026-09-05 06:51:09,VARIANT:41384398880904,92355278,41384398880904,Papillon Pendant,Default Title,18800,15500,USD,https://jacobandco.shop/products/papillon-pendant-pink
