Collection,Variant,Item Number,Price,Currency,Availability,URL,Last Seen
Astronomia Regulator,AR200.40.AA.AE.A,AR200.40.AA.AE.A,324000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/black,2026-08-13 10:00:11
Astronomia Revolution,AT170.30.AA.AB.ABALA,AT170.30.AA.AB.ABALA,704000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-revolution/white-gold,2026-08-13 10:00:11
Astronomia Revolution,AT170.31.AA.AA.A,AT170.31.AA.AA.A,726000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-revolution/black-gold,2026-08-13 10:00:11
Astronomia Revolution,AT170.40.AB.AB.A,AT170.40.AB.AB.A,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-revolution/rose-gold,2026-08-13 10:00:11
Astronomia Sky,AT110.20.AA.AA.A,AT110.20.AA.AA.A,528000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-sky/titanium,2026-08-13 10:00:11
Astronomia Sky,AT110.21.AA.AA.A,AT110.21.AA.AA.A,528000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-sky/black-titanium,2026-08-13 10:00:11
Astronomia Sky,AT110.22.AA.AA.A,AT110.22.AA.AA.A,528000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-sky/blue,2026-08-13 10:00:11
Astronomia Sky,AT110.30.AA.WD.A,AT110.30.AA.WD.A,748000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-sky/white-gold,2026-08-13 10:00:11
Astronomia Sky,AT110.31.AA.WD.C,AT110.31.AA.WD.C,748000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-sky/black-gold,2026-08-13 10:00:11
Astronomia Sky,AT110.40.AA.AA.A,AT110.40.AA.AA.A,748000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-sky/rose-gold-yellow-moon,2026-08-13 10:00:11
Astronomia Sky,AT110.40.AA.AD.B,AT110.40.AA.AD.B,748000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-sky/rose-gold-red-moon,2026-08-13 10:00:11
Astronomia Sky,AT110.40.AA.WD.A,AT110.40.AA.WD.A,748000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-sky/rose-gold-white-moon,2026-08-13 10:00:11
Astronomia Sky,AT113.40.AA.AA.A,AT113.40.AA.AA.A,748000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-sky/rose-gold-sapphire-mars,2026-08-13 10:00:11
Astronomia Solar Constellations,AS300.40.AA.AC.A,AS300.40.AA.AC.A,382800,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-constellations/rose-gold-ruby-center,2026-08-13 10:00:11
Astronomia Solar Constellations,AS300.40.AA.AE.A,AS300.40.AA.AE.A,382800,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-constellations/rose-gold-citrine-center,2026-08-13 10:00:11
Astronomia Solar Constellations,AS300.40.AP.AK.A,AS300.40.AP.AK.A,349800,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-constellations/planets,2026-08-13 10:00:11
Astronomia Solar Constellations,AS800.40.AP.AK.A,AS800.40.AP.AK.A,528000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-constellations/rose-gold-baguette,2026-08-13 10:00:11
Astronomia Solar Constellations,AS900.40.BD.BD.A,AS900.40.BD.BD.A,858000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-constellations/rose-gold-baguette-base,2026-08-13 10:00:11
Astronomia Solar Constellations,AS900.64.AA.UB.A,AS900.64.AA.UB.A,858000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-constellations/3-d-ruby,2026-08-13 10:00:11
Astronomia Solar Zodiac,AS300.30.AC.AC.A,AS300.30.AC.AC.A,382800,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-zodiac/white-gold,2026-08-13 10:00:11
Astronomia Solar Zodiac,AS310.21.AA.AB.A,AS310.21.AA.AB.A,360800,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-zodiac/full-black-dlc-titanium,2026-08-13 10:00:11
Astronomia Solar Zodiac,AS310.21.SP.AA.A,AS310.21.SP.AA.A,360800,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-zodiac/black-dlc-titanium-and-sapphire,2026-08-13 10:00:11
Astronomia Solar Zodiac,AS310.22.AA.AA.A,AS310.22.AA.AA.A,352000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-zodiac/blue-titanium,2026-08-13 10:00:11
Astronomia Solar Zodiac,AS310.40.AA.UA.A,AS310.40.AA.UA.A,382800,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-zodiac/rose-gold-with-blue-aventurine-dial,2026-08-13 10:00:11
Astronomia Solar Zodiac,AS310.40.SP.ZK.A,AS310.40.SP.ZK.A,382800,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-zodiac/rose-gold-planets-zodiac,2026-08-13 10:00:11
Astronomia Solar Zodiac,AS910.30.BD.BD.A,AS910.30.BD.BD.A,858000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-zodiac/zodiac-baguette-white-gold,2026-08-13 10:00:11
Astronomia Solar Zodiac,AS910.40.BD.BD.A,AS910.40.BD.BD.A,858000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-zodiac/zodiac-baguette,2026-08-13 10:00:11
Astronomia Solar Zodiac,AS910.40.BD.UB.A,AS910.40.BD.UB.A,858000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-solar-zodiac/zodiac-icy-blue-sapphires-baguette,2026-08-13 10:00:11
Astronomia Table Clock,AT900.10.AC.MT.A,AT900.10.AC.MT.A,170000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-table-clock/white-gold,2026-08-13 10:00:11
Astronomia Table Clock,AT902.10.AA.AA.A,AT902.10.AA.AA.A,360000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-table-clock/dragon,2026-08-13 10:00:11
Astronomia Table Clock,AT902.10.AC.AA.A,AT902.10.AC.AA.A,300000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-table-clock/india,2026-08-13 10:00:11
Astronomia Tourbillon,AT100.30.AC.SD.A,AT100.30.AC.SD.A,594000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon/white-gold,2026-08-13 10:00:11
Astronomia Tourbillon,AT100.31.AC.SD.A,AT100.31.AC.SD.A,594000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon/black-gold,2026-08-13 10:00:11
Astronomia Tourbillon,AT100.40.AC.SD.A,AT100.40.AC.SD.A,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon/rose-gold,2026-08-13 10:00:11
Astronomia Tourbillon,AT100.60.AA.AA.B,AT100.60.AA.AA.B,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon/platinum,2026-08-13 10:00:11
Astronomia Tourbillon,AT103.40.AA.AA.B,AT103.40.AA.AA.B,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon/typhoon,2026-08-13 10:00:11
Astronomia Tourbillon,AT120.30.AD.SD.C,AT120.30.AD.SD.C,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon/clarity-white-gold,2026-08-13 10:00:11
Astronomia Tourbillon,AT120.40.AD.SD.A,AT120.40.AD.SD.A,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon/clarity-rose-gold,2026-08-13 10:00:11
Astronomia Tourbillon Baguette,AT800.30.BD.BB.C,AT800.30.BD.BB.C,1100000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon-baguette/white-gold-baguette-blue-sapphires,2026-08-13 10:00:11
Astronomia Tourbillon Baguette,AT800.40.BD.BR.A,AT800.40.BD.BR.A,1100000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon-baguette/rose-gold-rubies,2026-08-13 10:00:11
Astronomia Tourbillon Baguette,AT800.40.BD.UB.C,AT800.40.BD.UB.C,1100000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon-baguette/rose-gold-baguette-multicolor-sapphires,2026-08-13 10:00:11
Astronomia Tourbillon Baguette,AT800.40.BO.UA.B,AT800.40.BO.UA.B,1100000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon-baguette/rose-gold-orange-sapphires,2026-08-13 10:00:11
Astronomia Tourbillon Baguette,AT800.40.HD.UA.B,AT800.40.HD.UA.B,1595000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon-baguette/meteorite-white-diamonds,2026-08-13 10:00:11
Astronomia Tourbillon Baguette,AT810.40.BD.BD.B,AT810.40.BD.BD.B,1100000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon-baguette/rose-gold-baguette-5-minutes,2026-08-13 10:00:11
Astronomia Tourbillon Baguette,AT810.40.BD.UA.B,AT810.40.BD.UA.B,1100000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon-baguette/rose-gold-tsavorites,2026-08-13 10:00:11
Astronomia Tourbillon Baguette,AT810.40.BD.UB.C,AT810.40.BD.UB.C,1100000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-tourbillon-baguette/rose-gold-arlequino,2026-08-13 10:00:11
Baguette,AS912.40.AC.AA.A,AS912.40.AC.AA.A,880000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces//baguette,2026-08-13 10:00:13
