Unique Key,Product ID,Variant ID,SKU,Product,Variant,Product Type,Vendor,Collections,Price,Compare At Price,Currency,Available,Option 1,Option 2,Option 3,Handle,URL,Last Seen
VARIANT:41444749574280,6826038657160,41444749574280,92353885,Estribo Bangle,15,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,23000,,USD,YES,15,,,estribo-bracelet-1,https://jacobandco.shop/products/estribo-bracelet-1,2026-08-19 05:22:54
VARIANT:41444752064648,6830278508680,41444752064648,92354226,Estribo Bangle,15,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,36000,,USD,YES,15,,,estribo-bracelet-3,https://jacobandco.shop/products/estribo-bracelet-3,2026-08-19 05:22:54
VARIANT:43076853170312,8417966522504,43076853170312,92353887,Estribo Bangle,15,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,36000,,USD,YES,15,,,estribo-bangle-white-gold-pave,https://jacobandco.shop/products/estribo-bangle-white-gold-pave,2026-08-19 05:22:54
VARIANT:41444734402696,6826032365704,41444734402696,92354718,Estribo Bangle,16,,Hand crafted in 18k rose gold,Estribo,14000,,USD,YES,16,,,estribo-bracelet-2,https://jacobandco.shop/products/estribo-bracelet-2,2026-08-19 05:22:54
VARIANT:41444744396936,6920624078984,41444744396936,92355919,Estribo Bangle,16,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,23000,,USD,YES,16,,,estribo-bangle-4,https://jacobandco.shop/products/estribo-bangle-4,2026-08-19 05:22:54
VARIANT:41444749607048,6826038657160,41444749607048,92353885,Estribo Bangle,16,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,23000,,USD,YES,16,,,estribo-bracelet-1,https://jacobandco.shop/products/estribo-bracelet-1,2026-08-19 05:22:54
VARIANT:41444752097416,6830278508680,41444752097416,92354226,Estribo Bangle,16,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,36000,,USD,YES,16,,,estribo-bracelet-3,https://jacobandco.shop/products/estribo-bracelet-3,2026-08-19 05:22:54
VARIANT:43076853203080,8417966522504,43076853203080,92353887,Estribo Bangle,16,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,36000,,USD,YES,16,,,estribo-bangle-white-gold-pave,https://jacobandco.shop/products/estribo-bangle-white-gold-pave,2026-08-19 05:22:54
VARIANT:41444734435464,6826032365704,41444734435464,92354718,Estribo Bangle,17,,Hand crafted in 18k rose gold,Estribo,14000,,USD,YES,17,,,estribo-bracelet-2,https://jacobandco.shop/products/estribo-bracelet-2,2026-08-19 05:22:54
VARIANT:41444744429704,6920624078984,41444744429704,92355919,Estribo Bangle,17,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,23000,,USD,YES,17,,,estribo-bangle-4,https://jacobandco.shop/products/estribo-bangle-4,2026-08-19 05:22:54
VARIANT:41444749639816,6826038657160,41444749639816,92353885,Estribo Bangle,17,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,23000,,USD,YES,17,,,estribo-bracelet-1,https://jacobandco.shop/products/estribo-bracelet-1,2026-08-19 05:22:54
VARIANT:41444752130184,6830278508680,41444752130184,92354226,Estribo Bangle,17,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,36000,,USD,YES,17,,,estribo-bracelet-3,https://jacobandco.shop/products/estribo-bracelet-3,2026-08-19 05:22:54
VARIANT:43076853235848,8417966522504,43076853235848,92353887,Estribo Bangle,17,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,36000,,USD,YES,17,,,estribo-bangle-white-gold-pave,https://jacobandco.shop/products/estribo-bangle-white-gold-pave,2026-08-19 05:22:54
VARIANT:41444734468232,6826032365704,41444734468232,92354718,Estribo Bangle,18,,Hand crafted in 18k rose gold,Estribo,16000,,USD,YES,18,,,estribo-bracelet-2,https://jacobandco.shop/products/estribo-bracelet-2,2026-08-19 05:22:54
VARIANT:41444744462472,6920624078984,41444744462472,92355919,Estribo Bangle,18,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,25000,,USD,YES,18,,,estribo-bangle-4,https://jacobandco.shop/products/estribo-bangle-4,2026-08-19 05:22:54
VARIANT:41444749672584,6826038657160,41444749672584,92353885,Estribo Bangle,18,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,25000,0,USD,YES,18,,,estribo-bracelet-1,https://jacobandco.shop/products/estribo-bracelet-1,2026-08-19 05:22:54
VARIANT:41444752162952,6830278508680,41444752162952,92354226,Estribo Bangle,18,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,38000,,USD,YES,18,,,estribo-bracelet-3,https://jacobandco.shop/products/estribo-bracelet-3,2026-08-19 05:22:54
VARIANT:43076853268616,8417966522504,43076853268616,92353887,Estribo Bangle,18,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,38000,,USD,YES,18,,,estribo-bangle-white-gold-pave,https://jacobandco.shop/products/estribo-bangle-white-gold-pave,2026-08-19 05:22:54
VARIANT:41444734501000,6826032365704,41444734501000,92354718,Estribo Bangle,19,,Hand crafted in 18k rose gold,Estribo,16000,,USD,YES,19,,,estribo-bracelet-2,https://jacobandco.shop/products/estribo-bracelet-2,2026-08-19 05:22:54
VARIANT:41444744495240,6920624078984,41444744495240,92355919,Estribo Bangle,19,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,25000,,USD,YES,19,,,estribo-bangle-4,https://jacobandco.shop/products/estribo-bangle-4,2026-08-19 05:22:54
VARIANT:41444749705352,6826038657160,41444749705352,92353885,Estribo Bangle,19,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,25000,0,USD,YES,19,,,estribo-bracelet-1,https://jacobandco.shop/products/estribo-bracelet-1,2026-08-19 05:22:54
VARIANT:41444752195720,6830278508680,41444752195720,92354226,Estribo Bangle,19,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,38000,,USD,YES,19,,,estribo-bracelet-3,https://jacobandco.shop/products/estribo-bracelet-3,2026-08-19 05:22:54
VARIANT:43076853301384,8417966522504,43076853301384,92353887,Estribo Bangle,19,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,38000,,USD,YES,19,,,estribo-bangle-white-gold-pave,https://jacobandco.shop/products/estribo-bangle-white-gold-pave,2026-08-19 05:22:54
VARIANT:41444734533768,6826032365704,41444734533768,92354718,Estribo Bangle,20,,Hand crafted in 18k rose gold,Estribo,16000,,USD,YES,20,,,estribo-bracelet-2,https://jacobandco.shop/products/estribo-bracelet-2,2026-08-19 05:22:54
VARIANT:41444744528008,6920624078984,41444744528008,92355919,Estribo Bangle,20,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,25000,,USD,YES,20,,,estribo-bangle-4,https://jacobandco.shop/products/estribo-bangle-4,2026-08-19 05:22:54
VARIANT:41444749738120,6826038657160,41444749738120,92353885,Estribo Bangle,20,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,25000,0,USD,YES,20,,,estribo-bracelet-1,https://jacobandco.shop/products/estribo-bracelet-1,2026-08-19 05:22:54
VARIANT:41444752228488,6830278508680,41444752228488,92354226,Estribo Bangle,20,,Hand crafted in 18k rose gold and set with high-quality round brilliant cut diamonds,Estribo,38000,,USD,YES,20,,,estribo-bracelet-3,https://jacobandco.shop/products/estribo-bracelet-3,2026-08-19 05:22:54
VARIANT:43076853334152,8417966522504,43076853334152,92353887,Estribo Bangle,20,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,38000,,USD,YES,20,,,estribo-bangle-white-gold-pave,https://jacobandco.shop/products/estribo-bangle-white-gold-pave,2026-08-19 05:22:54
